Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1,Georgia,US,01-22-2020,0,0
2,Georgia,US,01-23-2020,0,0
3,Georgia,US,01-24-2020,0,0
4,Georgia,US,01-25-2020,0,0
5,Georgia,US,01-26-2020,0,0
6,Georgia,US,01-27-2020,0,0
7,Georgia,US,01-28-2020,0,0
8,Georgia,US,01-29-2020,0,0
9,Georgia,US,01-30-2020,0,0
10,Georgia,US,01-31-2020,0,0
11,Georgia,US,02-01-2020,0,0
12,Georgia,US,02-02-2020,0,0
13,Georgia,US,02-03-2020,0,0
14,Georgia,US,02-04-2020,0,0
15,Georgia,US,02-05-2020,0,0
16,Georgia,US,02-06-2020,0,0
17,Georgia,US,02-07-2020,0,0
18,Georgia,US,02-08-2020,0,0
19,Georgia,US,02-09-2020,0,0
20,Georgia,US,02-10-2020,0,0
21,Georgia,US,02-11-2020,0,0
22,Georgia,US,02-12-2020,0,0
23,Georgia,US,02-13-2020,0,0
24,Georgia,US,02-14-2020,0,0
25,Georgia,US,02-15-2020,0,0
26,Georgia,US,02-16-2020,0,0
27,Georgia,US,02-17-2020,0,0
28,Georgia,US,02-18-2020,0,0
29,Georgia,US,02-19-2020,0,0
30,Georgia,US,02-20-2020,0,0
31,Georgia,US,02-21-2020,0,0
32,Georgia,US,02-22-2020,0,0
33,Georgia,US,02-23-2020,0,0
34,Georgia,US,02-24-2020,0,0
35,Georgia,US,02-25-2020,0,0
36,Georgia,US,02-26-2020,0,0
37,Georgia,US,02-27-2020,0,0
38,Georgia,US,02-28-2020,0,0
39,Georgia,US,02-29-2020,0,0
40,Georgia,US,03-01-2020,0,0
41,Georgia,US,03-02-2020,0,0
42,Georgia,US,03-03-2020,2,0
43,Georgia,US,03-04-2020,2,0
44,Georgia,US,03-05-2020,2,0
45,Georgia,US,03-06-2020,3,0
46,Georgia,US,03-07-2020,5,0
47,Georgia,US,03-08-2020,5,0
48,Georgia,US,03-09-2020,10,0
49,Georgia,US,03-10-2020,17,0
50,Georgia,US,03-11-2020,23,0
51,Georgia,US,03-12-2020,31,1
52,Georgia,US,03-13-2020,42,1
53,Georgia,US,03-14-2020,73,1
54,Georgia,US,03-15-2020,99,1
55,Georgia,US,03-16-2020,121,1
56,Georgia,US,03-17-2020,146,1
57,Georgia,US,03-18-2020,197,3
58,Georgia,US,03-19-2020,282,3
59,Georgia,US,03-20-2020,457,10
60,Georgia,US,03-21-2020,518,14
61,Georgia,US,03-22-2020,585,15
62,Georgia,US,03-23-2020,727,15
63,Georgia,US,03-24-2020,945,15
64,Georgia,US,03-25-2020,1101,16
65,Georgia,US,03-26-2020,1359,16
66,Georgia,US,03-27-2020,1783,22
67,Georgia,US,03-28-2020,2136,67
68,Georgia,US,03-29-2020,2389,78
69,Georgia,US,03-30-2020,2644,86
70,Georgia,US,03-31-2020,3764,110
71,Georgia,US,04-01-2020,4122,137
72,Georgia,US,04-02-2020,4570,162
73,Georgia,US,04-03-2020,5324,180
74,Georgia,US,04-04-2020,5915,197
75,Georgia,US,04-05-2020,6369,206
76,Georgia,US,04-06-2020,6994,224
77,Georgia,US,04-07-2020,8333,322
78,Georgia,US,04-08-2020,9044,356
79,Georgia,US,04-09-2020,9546,371
80,Georgia,US,04-10-2020,10239,411
81,Georgia,US,04-11-2020,10762,425
82,Georgia,US,04-12-2020,11234,429
83,Georgia,US,04-13-2020,12096,464
84,Georgia,US,04-14-2020,13626,518
85,Georgia,US,04-15-2020,14041,545
86,Georgia,US,04-16-2020,14818,587
87,Georgia,US,04-17-2020,16159,643
88,Georgia,US,04-18-2020,16634,666
89,Georgia,US,04-19-2020,17179,680
90,Georgia,US,04-20-2020,18160,766
91,Georgia,US,04-21-2020,18441,791
92,Georgia,US,04-22-2020,19544,839
93,Georgia,US,04-23-2020,20544,871
94,Georgia,US,04-24-2020,21128,889
95,Georgia,US,04-25-2020,21623,896
96,Georgia,US,04-26-2020,21842,907
97,Georgia,US,04-27-2020,22642,980
98,Georgia,US,04-28-2020,23342,1021
99,Georgia,US,04-29-2020,24178,1085
100,Georgia,US,04-30-2020,24908,1118
