ID,Country_Region,Date,ConfirmedCases,Fatalities
1,Georgia,1/22/2020,0,0
2,Georgia,1/23/2020,0,0
3,Georgia,1/24/2020,0,0
4,Georgia,1/25/2020,0,0
5,Georgia,1/26/2020,0,0
6,Georgia,1/27/2020,0,0
7,Georgia,1/28/2020,0,0
8,Georgia,1/29/2020,0,0
9,Georgia,1/30/2020,0,0
10,Georgia,1/31/2020,0,0
11,Georgia,2/1/2020,0,0
12,Georgia,2/2/2020,0,0
13,Georgia,2/3/2020,0,0
14,Georgia,2/4/2020,0,0
15,Georgia,2/5/2020,0,0
16,Georgia,2/6/2020,0,0
17,Georgia,2/7/2020,0,0
18,Georgia,2/8/2020,0,0
19,Georgia,2/9/2020,0,0
20,Georgia,2/10/2020,0,0
21,Georgia,2/11/2020,0,0
22,Georgia,2/12/2020,0,0
23,Georgia,2/13/2020,0,0
24,Georgia,2/14/2020,0,0
25,Georgia,2/15/2020,0,0
26,Georgia,2/16/2020,0,0
27,Georgia,2/17/2020,0,0
28,Georgia,2/18/2020,0,0
29,Georgia,2/19/2020,0,0
30,Georgia,2/20/2020,0,0
31,Georgia,2/21/2020,0,0
32,Georgia,2/22/2020,0,0
33,Georgia,2/23/2020,0,0
34,Georgia,2/24/2020,0,0
35,Georgia,2/25/2020,0,0
36,Georgia,2/26/2020,0,0
37,Georgia,2/27/2020,0,0
38,Georgia,2/28/2020,0,0
39,Georgia,2/29/2020,0,0
40,Georgia,3/1/2020,0,0
41,Georgia,3/2/2020,0,0
42,Georgia,3/3/2020,2,0
43,Georgia,3/4/2020,2,0
44,Georgia,3/5/2020,2,0
45,Georgia,3/6/2020,3,0
46,Georgia,3/7/2020,5,0
47,Georgia,3/8/2020,5,0
48,Georgia,3/9/2020,10,0
49,Georgia,3/10/2020,17,0
50,Georgia,3/11/2020,23,0
51,Georgia,3/12/2020,31,1
52,Georgia,3/13/2020,42,1
53,Georgia,3/14/2020,73,1
54,Georgia,3/15/2020,99,1
55,Georgia,3/16/2020,121,1
56,Georgia,3/17/2020,146,1
57,Georgia,3/18/2020,197,3
58,Georgia,3/19/2020,282,3
59,Georgia,3/20/2020,457,10
60,Georgia,3/21/2020,518,14
61,Georgia,3/22/2020,585,15
62,Georgia,3/23/2020,727,15
63,Georgia,3/24/2020,945,15
64,Georgia,3/25/2020,1101,16
65,Georgia,3/26/2020,1359,16
66,Georgia,3/27/2020,1783,22
67,Georgia,3/28/2020,2136,67
68,Georgia,3/29/2020,2389,78
69,Georgia,3/30/2020,2644,86
70,Georgia,3/31/2020,3764,110
71,Georgia,4/1/2020,4122,137
72,Georgia,4/2/2020,4570,162
73,Georgia,4/3/2020,5324,180
74,Georgia,4/4/2020,5915,197
75,Georgia,4/5/2020,6369,206
76,Georgia,4/6/2020,6994,224
77,Georgia,4/7/2020,8333,322
78,Georgia,4/8/2020,9044,356
79,Georgia,4/9/2020,9546,371
80,Georgia,4/10/2020,10239,411
81,Georgia,4/11/2020,10762,425
82,Georgia,4/12/2020,11234,429
83,Georgia,4/13/2020,12096,464
84,Georgia,4/14/2020,13626,518
85,Georgia,4/15/2020,14041,545
86,Georgia,4/16/2020,14818,587
87,Georgia,4/17/2020,16159,643
88,Georgia,4/18/2020,16634,666
89,Georgia,4/19/2020,17179,680
90,Georgia,4/20/2020,18160,766
91,Georgia,4/21/2020,18441,791
92,Georgia,4/22/2020,19544,839
93,Georgia,4/23/2020,20544,871
94,Georgia,4/24/2020,21128,889
95,Georgia,4/25/2020,21623,896
96,Georgia,4/26/2020,21842,907
97,Georgia,4/27/2020,22642,980
98,Georgia,4/28/2020,23342,1021
99,Georgia,4/29/2020,24178,1085
100,Georgia,4/30/2020,24908,1118
101,Georgia,5/1/2020,25774,1155
102,Georgia,5/2/2020,26617,1163
103,Georgia,5/3/2020,26917,1170
104,Georgia,5/4/2020,27664,1225
